name	affiliations_count	affiliations
Osipova Tatiana A.	3	IATE MEPhI | National Research Nuclear University MEPhI | RIAR JSC
Padun Sergey P.	2	Innovative Company SNIIPATOM Joint Stock Company | LLC Innovative Firm SNIIP ATOM
Parkhomchuk Ekaterina V.	2	AMS “Golden Valley”, Novosibirsk State University | Institute of Archeology and Ethnography SB RAS
Pavlov Sergey V.	2	National Research Nuclear University MEPhI | Sosny R&D Company
Perevezentsev Vladimir V.	2	Bauman Moscow State Technical University | NIKIET JSC
Pisarev Alexander N.	2	IATE MEPhI | National Research Center "Kurchatov Institute"
Podgorny Sergey K.	2	Branch of IDGC of the South, PJSC – Volgogradenergo | Branch of PJSC “Rosseti Yug” – Volgogradenergo
Portnykh Irina A.	2	INM JSC PO Box 29, Zarechny, Sverdlovsk reg. | Research Institute of Nuclear Materials
Rachkov Valeriy I.	2	JSC "Proryv" | National Research Nuclear University MEPhI
Russkikh Ivan M.	2	Research Institute of Nuclear Materials JSC, Zarechny, Sverdlovsk Region, Russia Research Institute of Nuclear Materials JSC Zarechny Russia | Research Institute of Nuclear Materials JSC, Zarechny, Sverdlovsk region, Zarechny, Russia Research Institute of Nuclear Materials JSC Zarechny Russia
Said Ibrahim A.	2	Chemical Engineering Department, Faculty of Engineering, Alexandria University, Egypt Missouri University of Science and Technology Rolla United States of America | Multiphase Reactors Engineering and Applications Laboratory (mReal), Chemical and Biochemical Engineering Department, Missouri University of Science and Technology, Rolla, MO
Salnikov Nikolay L.	2	IATE MEPhI | National Research Nuclear University MEPhI
Seleznev Evgeny F.	2	LLC ASU-LEADER | Nuclear Safety Institute of the Russian Academy of Sciences
Shamsutdinov Rinat N.	2	National Research Nuclear University MEPhI | Sosny R&D Company
Shchukina Nataliya V.	2	A. Tsyb Medical Radiological Research Center – Branch of the National Medical Research Radiological Center of the Ministry of Health of the Russian Federation | A.Tsyb Medical Radiological Research Centre-branch of the National Medical Research Radiological Centre, Ministry of Helath of the Russian Federation
Stepanov Vladimir A.	3	FGBUN Interdepartmental Center for Analytical Research in the Field of Physics, Chemistry and Biology under the Presidium of the Russian Academy of Sciences | IATE MEPhI | LLC “Materials Laboratory of Obninsk Institute for Nuclear Power Engineering”
Suslov Igor R.	2	JSC "Proryv" | JSC "SSC RF-IPPE n.a. A.I. Leypunsky"
Taha Mahmoud M.	2	Chemical Engineering Department, Faculty of Engineering, Alexandria University, Egypt Missouri University of Science and Technology Rolla United States of America | Multiphase Reactors Engineering and Applications Laboratory (mReal), Chemical and Biochemical Engineering Department, Missouri University of Science and Technology, Rolla, MO
Tembhurkar Chetan	2	Centre for Research Impact and Outcome, Chitkara University, Punjab, India Chitkara University Punjab India | Department of Robotics & Artificial Intelligence, Priyadarshini College of Engineering, Nagpur, India Priyadarshini College of Engineering Nagpur India
Teplov Vadim G.	2	NIIAR JSC | RIAR JSC
Toshinsky Georgy I.	2	AKME-Engineering JSC | JSC "SSC RF-IPPE n.a. A.I. Leypunsky"
Troyanov Vladimir M.	2	JSC "Rosenergoatom Concern" | JSC "SSC RF-IPPE n.a. A.I. Leypunsky"
Vlasov Oleg K.	2	A. Tsyb Medical Radiological Research Center – Branch of the National Medical Research Radiological Center of the Ministry of Health of the Russian Federation | A.Tsyb Medical Radiological Research Centre-branch of the National Medical Research Radiological Centre, Ministry of Helath of the Russian Federation
Vnukov Ruslan A.	2	IATE MEPhI | JSC "Proryv"
Volchikhina Yulia V.	2	Research Institute of Nuclear Materials JSC, Zarechny, Sverdlovsk Region, Russia Research Institute of Nuclear Materials JSC Zarechny Russia | Ural Federal University
Volkov Ilya N.	2	A.N. Frumkin Institute of Physical Chemistry and Electrochemistry the Russian Academy of Sciences | MIREA – Russian Technological University
Voronina Aleksandra V.	2	National Research Nuclear University MEPhI | Sosny R&D Company
Zabudko Liudmila M.	2	JSC "Proryv" | NIKIET JSC
Zharkov Mikhail	2	National Research Nuclear University MEPhI | NIKIET JSC
Zvonova Irina A.	2	P. Ramzaev FSO Research Institute of Radiation Hygiene | The Saint Petersburg Research Institute of Radiation Hygiene
Zyryanova Alexandra A.	2	Research Institute of Nuclear Materials JSC, Zarechny, Sverdlovsk Region, Russia Research Institute of Nuclear Materials JSC Zarechny Russia | Research Institute of Nuclear Materials JSC, Zarechny, Sverdlovsk region, Zarechny, Russia Research Institute of Nuclear Materials JSC Zarechny Russia
Мельников, А. В.	3	Moscow Institute of Physics and Technology | National Research Center "Kurchatov Institute" | National Research Nuclear University MEPhI
