affiliation	rows
Laboratory of Radiation-environmental Informatics, A. Tsyb MRRC, (Dr.Sci.Tech.), Kaluga, Russia Laboratory of Radiation-environmental Informatics, A. Tsyb MRRC, (Dr.Sci.Tech.) Kaluga Russia	1
LASMES, SSMT, Félix Houphouet Boigny University, Abidjan, Cote d’Ivoire Félix Houphouet Boigny University Abidjan Cote d'Ivoire	1
Leading Scientific Research Institute of Chemical Technology JSC	5
LLC ASU-LEADER	5
LLC Innovative Firm SNIIP ATOM	4
LLC “Materials Laboratory of Obninsk Institute for Nuclear Power Engineering”	1
LLC Protius	2
LUCH Research and Production Association, Research and Development Institute, Joint-Stock Company	3
Melentiev Energy Systems Institute, Siberian Branch of the Russian Academy of Sciences (ISEM SB RAS)	2
MINES ParisTech	1
Mining and Nuclear Engineering Department, Missouri University of Science and Technology, Rolla, MO	2
Mining Institute of the Kola Science Centre of the RAS	1
Ministry of Interior, Disaster and Emergency Management Presidency, Ankara, Turkiye	1
MIREA – Russian Technological University	2
MPEI Branch in Volzhsky	2
Multiphase Reactors Engineering and Applications Laboratory (mReal), Chemical and Biochemical Engineering Department, Missouri University of Science and Technology, Rolla, MO	3
National Center for Energy, Sciences and Nuclear Technique, Rabat, Morocco	1
National Operator for Radioactive Waste management FSUE	1
National Research Nuclear University Moscow Engineering Physics Institute, Kashirskoe sh.	1
National Research University Higher School of Economics	3
National Research University MIPT	1
National University of Science and Technology MISIS	1
NIIAR JSC	3
Non-Profit Partnership for Promoting the Development of System Engineering “Rise”	1
NUST MISiS	1
OJSC “ELECOND”	2
OON NTP “DIP”	1
ORLAN LLC	1
ORPE Technologiya n.a. A.G. Romashin	1
Peter the Great St. Petersburg Polytechnic University	1
Physics Department, Faculty of Education, Ain Shams University	3
Physics department, Faculty of Sciences, Ferhat ABBAS	2
Plasma Science Society of India (PSSI), Bhat	1
P. Ramzaev FSO Research Institute of Radiation Hygiene	2
P. Ramzaev Research Institute of Radiation Hygiene, Saint-Petersburg, Russia P. Ramzaev Research Institute of Radiation Hygiene Saint-Petersburg Russia	2
PRESN, Faculty of Sciences, Mohamed V University, Rabat, Morocco Mohamed V University Rabat Morocco	1
Private Institution «Atomstandart»	1
Radioactive Waste Technology and Radiochemistry Research Department, China Nuclear Power Technology Research Institute, Shenzhen, China Radioactive Waste Technology and Radiochemistry Research Department, China Nuclear Power Technology Research Institute Shenzhen China	3
REIN Engineering JSC	1
REIN Engineering, JSC	1
Republic of Turkey Northeast Anatolia Development Agency, Erzincan, Turkiye	1
Research and Development Department, Nuclear Power Plants Authority, Cairo, Egypt Research and Development Department, Nuclear Power Plants Authority Cairo Egypt	1
Research Center for Nuclear Reactor Technology, Research Organization for Nuclear Energy, National Research and Innovation Agency of Indonesia, Tangerang Selatan	2
Research Institute of Nuclear Materials	6
Research Institute of Nuclear Materials JSC, Zarechny, Sverdlovsk Region, Russia Research Institute of Nuclear Materials JSC Zarechny Russia	3
Research Institute of Nuclear Materials JSC, Zarechny, Sverdlovsk region, Zarechny, Russia Research Institute of Nuclear Materials JSC Zarechny Russia	4
Rosatom Technical Academy	2
Russian Institute of Radiology and Agroecology, RIRAE	1
Russian Research Institute for Radiology and Agroecology	7
Saint-Petersburg State Institute of Technology (Technical University)	3
Saint Petersburg State Institute of Technology (Technical University) 26	2
School of National Defense & Nuclear Science and Technology, Southwest University of Science and Technology, Mian yang	2
Sevastopol State University	1
Siberian Chemical Plant JSC	2
South Ural State University	1
SRC – Burnasyan Federal Medical Biophysical Center of Federal Medical Biological Agency	3
Startech Co. Ltd.	1
State Research Center of the Russian Federation “Troitsk Institute for Innovation & Fusion Research”	3
TESIS Ltd.	3
The Saint Petersburg Research Institute of Radiation Hygiene	1
Tsyb Medical Radiological Research Center – Branch of the National Medical Research Radiological Center of the Ministry of Health of the Russian Federation	4
Udmurt State University	2
University of Dhaka, Dhaka, Bangladesh University of Dhaka Dhaka Bangladesh	1
University of Pisa, Pisa, Italy University of Pisa Pisa Italy	2
University of Technology, Baghdad, Iraq University of Technology Baghdad Iraq	1
University of Zagreb, Zagreb, Croatia University of Zagreb Zagreb Croatia	1
Ural Institute of GPS EMERCOM of Russia	4
Ural State Agrarian University	1
